feedback_id,feedback_date,region,org_id,product_id,submitter_role,sentiment,topic,urgency,feedback_text,followup_status
FB0014,2026-08-12,华北,NM-H005,NMX-02,售前顾问,负向,采购预算,高,本季度预算已锁定，客户希望拆分实施和订阅付款节点。,待跟进
FB0015,2026-08-19,华北,NM-H005,NMX-01,客户成功经理,中性,识别准确率,中,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0016,2026-08-27,华北,NM-H006,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0017,2026-07-07,华北,NM-H006,NMX-01,售前顾问,负向,PACS集成,紧急,院方测试环境的PACS字段映射不一致，接口联调进度受阻。,处理中
FB0018,2026-07-16,华北,NM-H006,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0019,2026-07-23,华北,NM-H007,NMX-01,客户经理,正向,识别准确率,低,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0020,2026-07-31,华北,NM-H007,NMX-02,售前顾问,负向,数据导出,高,运营月报导出字段不够，客户要求增加科室与任务状态。,待跟进
FB0021,2026-08-05,华北,NM-H007,NMX-01,客户成功经理,中性,识别准确率,中,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0022,2026-08-13,华北,NM-H008,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0023,2026-08-20,华北,NM-H008,NMX-01,售前顾问,负向,合规材料,高,采购办要求补充算法版本变更记录和院内审查材料。,待跟进
FB0024,2026-08-28,华北,NM-H008,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0025,2026-07-07,华南,NM-H009,NMX-01,客户经理,正向,识别准确率,低,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0026,2026-07-16,华南,NM-H009,NMX-02,售前顾问,负向,系统集成,高,HIS患者状态回写字段缺失，需与信息科确认接口范围。,待跟进
FB0027,2026-07-23,华南,NM-H009,NMX-01,客户成功经理,中性,识别准确率,中,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0028,2026-07-28,华南,NM-H010,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0029,2026-08-04,华南,NM-H010,NMX-01,售前顾问,负向,部署性能,紧急,本地服务器配置偏低，高峰期影像队列等待时间较长。,处理中
FB0030,2026-08-13,华南,NM-H010,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0031,2026-08-20,华南,NM-H011,NMX-01,客户经理,正向,识别准确率,低,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0032,2026-08-28,华南,NM-H011,NMX-02,售前顾问,负向,采购预算,高,本季度预算已锁定，客户希望拆分实施和订阅付款节点。,待跟进
FB0033,2026-07-08,华南,NM-H011,NMX-01,客户成功经理,中性,识别准确率,中,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0034,2026-07-17,华南,NM-H012,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0035,2026-07-24,华南,NM-H012,NMX-01,售前顾问,负向,PACS集成,紧急,院方测试环境的PACS字段映射不一致，接口联调进度受阻。,处理中
FB0036,2026-07-30,华南,NM-H012,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0037,2026-08-07,西部,NM-H013,NMX-01,客户经理,负向,PACS集成,紧急,院方测试环境的PACS字段映射不一致，接口联调进度受阻。,处理中
FB0038,2026-08-13,西部,NM-H013,NMX-02,售前顾问,负向,数据导出,高,运营月报导出字段不够，客户要求增加科室与任务状态。,待跟进
FB0039,2026-08-21,西部,NM-H013,NMX-01,客户成功经理,负向,合规材料,高,采购办要求补充算法版本变更记录和院内审查材料。,待跟进
FB0040,2026-08-25,西部,NM-H014,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0041,2026-07-07,西部,NM-H014,NMX-01,售前顾问,负向,合规材料,高,采购办要求补充算法版本变更记录和院内审查材料。,待跟进
FB0042,2026-07-16,西部,NM-H014,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0043,2026-07-23,西部,NM-H015,NMX-01,客户经理,负向,合规材料,高,采购办要求补充算法版本变更记录和院内审查材料。,待跟进
FB0044,2026-07-29,西部,NM-H015,NMX-02,售前顾问,负向,系统集成,高,HIS患者状态回写字段缺失，需与信息科确认接口范围。,待跟进
FB0045,2026-08-06,西部,NM-H015,NMX-01,客户成功经理,负向,部署性能,紧急,本地服务器配置偏低，高峰期影像队列等待时间较长。,处理中
FB0046,2026-08-14,西部,NM-H016,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0047,2026-08-21,西部,NM-H016,NMX-01,售前顾问,负向,部署性能,紧急,本地服务器配置偏低，高峰期影像队列等待时间较长。,处理中
FB0048,2026-08-27,西部,NM-H016,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
